sIP,dIP,sPort,dPort,protocol,packets,bytes,flags,sTime,duration,eTime,sensor,in,out,nhIP,initialFlags,sessionFlags,attributes,application,class,type,sTime+msec,eTime+msec,dur+msec,iType,iCode,scc,dcc
8.8.8.8,192.168.1.11,0,0,1,4,336,,2015/10/22T03:37:36.712,3.003,2015/10/22T03:37:39.715,S0,0,0,0.0.0.0,,,S,0,all,in,2015/10/22T03:37:36.712,2015/10/22T03:37:39.715,3.003,0,0,us,--
192.168.1.11,8.8.8.8,0,2048,1,4,336,,2015/10/22T03:37:36.695,3.007,2015/10/22T03:37:39.702,S0,0,0,0.0.0.0,,,S,0,all,out,2015/10/22T03:37:36.695,2015/10/22T03:37:39.702,3.007,8,0,--,us
192.168.1.3,224.0.0.252,49596,5355,17,2,114,,2015/10/22T03:38:00.256,0.002,2015/10/22T03:38:00.258,S0,0,0,0.0.0.0,,,S,53,all,out,2015/10/22T03:38:00.256,2015/10/22T03:38:00.258,0.002,,,--,--
192.168.1.8,224.0.0.251,5353,5353,17,41,14087,,2015/10/22T03:37:59.854,18.631,2015/10/22T03:38:18.485,S0,0,0,0.0.0.0,,,,0,all,out,2015/10/22T03:37:59.854,2015/10/22T03:38:18.485,18.631,,,--,--
192.168.1.3,224.0.0.252,49577,5355,17,2,114,,2015/10/22T03:39:00.162,0.102,2015/10/22T03:39:00.264,S0,0,0,0.0.0.0,,,S,53,all,out,2015/10/22T03:39:00.162,2015/10/22T03:39:00.264,0.102,,,--,--
192.168.1.3,224.0.0.252,50736,5355,17,2,114,,2015/10/22T03:40:00.171,0.102,2015/10/22T03:40:00.273,S0,0,0,0.0.0.0,,,S,53,all,out,2015/10/22T03:40:00.171,2015/10/22T03:40:00.273,0.102,,,--,--
192.168.1.2,224.0.0.251,5353,5353,17,1,121,,2015/10/22T03:40:19.116,0.000,2015/10/22T03:40:19.116,S0,0,0,0.0.0.0,,,,0,all,out,2015/10/22T03:40:19.116,2015/10/22T03:40:19.116,0.000,,,--,--
192.168.1.10,239.255.255.250,50887,1900,17,2,453,,2015/10/22T03:40:34.375,0.003,2015/10/22T03:40:34.378,S0,0,0,0.0.0.0,,,,80,all,out,2015/10/22T03:40:34.375,2015/10/22T03:40:34.378,0.003,,,--,--
192.168.1.3,224.0.0.252,59768,5355,17,2,114,,2015/10/22T03:41:00.383,0.104,2015/10/22T03:41:00.487,S0,0,0,0.0.0.0,,,S,53,all,out,2015/10/22T03:41:00.383,2015/10/22T03:41:00.487,0.104,,,--,--
192.168.1.7,224.0.0.251,5353,5353,17,3,541,,2015/10/22T03:37:46.841,199.996,2015/10/22T03:41:06.837,S0,0,0,0.0.0.0,,,,0,all,out,2015/10/22T03:37:46.841,2015/10/22T03:41:06.837,199.996,,,--,--
192.168.1.4,224.0.0.251,5353,5353,17,2,241,,2015/10/22T03:40:03.037,80.697,2015/10/22T03:41:23.734,S0,0,0,0.0.0.0,,,,0,all,out,2015/10/22T03:40:03.037,2015/10/22T03:41:23.734,80.697,,,--,--
192.168.1.1,224.0.0.1,0,0,2,3,108,,2015/10/22T03:37:37.828,249.970,2015/10/22T03:41:47.798,S0,0,0,0.0.0.0,,,S,0,all,out,2015/10/22T03:37:37.828,2015/10/22T03:41:47.798,249.970,,,--,--
192.168.1.1,224.0.0.22,0,0,2,3,120,,2015/10/22T03:37:38.135,255.296,2015/10/22T03:41:53.431,S0,0,0,0.0.0.0,,,S,0,all,out,2015/10/22T03:37:38.135,2015/10/22T03:41:53.431,255.296,,,--,--
